"","rules","support","confidence","coverage","lift","count"
"1","{PETR4.SA=1} => {POSI3.SA=1}",0.483333333333333,1,0.483333333333333,2,29
"2","{PETR4.SA=1} => {RAIL3.SA=1}",0.45,0.931034482758621,0.483333333333333,1.74568965517241,27
"3","{PETR4.SA=1} => {CSNA3.SA=1}",0.466666666666667,0.96551724137931,0.483333333333333,1.81034482758621,28
"4","{PETR4.SA=1} => {EMBR3.SA=1}",0.45,0.931034482758621,0.483333333333333,1.69278996865204,27
"5","{PETR4.SA=1} => {OIBR3.SA=1}",0.483333333333333,1,0.483333333333333,1.71428571428571,29
"6","{PETR4.SA=1} => {BRDT3.SA=1}",0.45,0.931034482758621,0.483333333333333,1.36248948696384,27
